path_adversarial,original_prevision,adversarial_prevision,success
Adversarial_img/in_distribution/fg/untarget/0.png,18,11,1
Adversarial_img/in_distribution/fg/untarget/1.png,18,38,1
Adversarial_img/in_distribution/fg/untarget/2.png,18,4,1
Adversarial_img/in_distribution/fg/untarget/3.png,18,4,1
Adversarial_img/in_distribution/fg/untarget/4.png,18,3,1
Adversarial_img/in_distribution/fg/untarget/5.png,11,18,1
Adversarial_img/in_distribution/fg/untarget/6.png,18,18,0
Adversarial_img/in_distribution/fg/untarget/7.png,11,11,0
Adversarial_img/in_distribution/fg/untarget/8.png,18,11,1
Adversarial_img/in_distribution/fg/untarget/9.png,18,11,1
Adversarial_img/in_distribution/fg/untarget/10.png,18,11,1
Adversarial_img/in_distribution/fg/untarget/11.png,18,21,1
Adversarial_img/in_distribution/fg/untarget/12.png,18,15,1
Adversarial_img/in_distribution/fg/untarget/13.png,11,23,1
Adversarial_img/in_distribution/fg/untarget/14.png,18,17,1
Adversarial_img/in_distribution/fg/untarget/15.png,18,4,1
Adversarial_img/in_distribution/fg/untarget/16.png,18,4,1
Adversarial_img/in_distribution/fg/untarget/17.png,18,11,1
Adversarial_img/in_distribution/fg/untarget/18.png,18,18,0
