path_adversarial,original_prevision,adversarial_prevision,success
Adversarial_img/in_distribution/it/untarget/0.png,18,18,0
Adversarial_img/in_distribution/it/untarget/1.png,18,18,0
Adversarial_img/in_distribution/it/untarget/2.png,18,18,0
Adversarial_img/in_distribution/it/untarget/3.png,18,18,0
Adversarial_img/in_distribution/it/untarget/4.png,18,18,0
Adversarial_img/in_distribution/it/untarget/5.png,11,18,1
Adversarial_img/in_distribution/it/untarget/6.png,18,18,0
Adversarial_img/in_distribution/it/untarget/7.png,11,18,1
Adversarial_img/in_distribution/it/untarget/8.png,18,18,0
Adversarial_img/in_distribution/it/untarget/9.png,18,18,0
Adversarial_img/in_distribution/it/untarget/10.png,18,18,0
Adversarial_img/in_distribution/it/untarget/11.png,18,18,0
Adversarial_img/in_distribution/it/untarget/12.png,18,18,0
Adversarial_img/in_distribution/it/untarget/13.png,11,11,0
Adversarial_img/in_distribution/it/untarget/14.png,18,18,0
Adversarial_img/in_distribution/it/untarget/15.png,18,18,0
Adversarial_img/in_distribution/it/untarget/16.png,18,18,0
Adversarial_img/in_distribution/it/untarget/17.png,18,11,1
Adversarial_img/in_distribution/it/untarget/18.png,18,18,0
